Date,Market,Type,Price,Amount,Total,Fee,Fee Coin
2022-01-10 10:00:00,BTCEUR,BUY,40000.0,0.5,20000.0,20.0,EUR
2022-02-15 12:00:00,ETHEUR,BUY,2500.0,10.0,25000.0,25.0,EUR
2022-03-01 14:00:00,BTCEUR,BUY,42000.0,0.2,8400.0,8.4,EUR
2022-04-20 09:30:00,ADAEUR,BUY,1.0,5000.0,5000.0,5.0,EUR
2022-06-15 11:15:00,BTCEUR,SELL,30000.0,0.3,9000.0,9.0,EUR
2022-07-20 16:45:00,ETHEUR,SELL,1500.0,5.0,7500.0,7.5,EUR
2022-08-10 13:20:00,BTCEUR,BUY,20000.0,1.0,20000.0,20.0,EUR
2022-11-05 10:10:00,ADAEUR,SELL,0.5,2000.0,1000.0,1.0,EUR
2023-01-15 09:00:00,BTCEUR,SELL,22000.0,0.3,6600.0,6.6,EUR
2023-02-20 14:30:00,ETHEUR,SELL,1800.0,5.0,9000.0,9.0,EUR
2023-03-10 11:00:00,ADAEUR,BUY,0.4,10000.0,4000.0,4.0,EUR
2023-05-15 16:00:00,BTCEUR,SELL,28000.0,0.2,5600.0,5.6,EUR
2023-06-20 10:30:00,ETHEUR,BUY,1900.0,8.0,15200.0,15.2,EUR
2023-08-15 13:45:00,BTCEUR,SELL,29000.0,0.5,14500.0,14.5,EUR
2023-11-20 09:15:00,ADAEUR,SELL,0.6,5000.0,3000.0,3.0,EUR
2024-01-10 14:00:00,BTCEUR,BUY,45000.0,0.4,18000.0,18.0,EUR
2024-02-15 11:30:00,ETHEUR,SELL,3000.0,4.0,12000.0,12.0,EUR
2024-03-20 16:00:00,ADAEUR,SELL,0.8,4000.0,3200.0,3.2,EUR
2024-04-10 10:45:00,BTCEUR,SELL,65000.0,0.2,13000.0,13.0,EUR
2024-05-01 09:00:00,ETHEUR,SELL,3200.0,4.0,12800.0,12.8,EUR
